Sample ID,Thiaminase_Activity,No_detect,Signal.Noise,Area,Survey,?,Station,Catch Date,Latitude,Longitude,Region,Analysis Date,Species,Scientific,Age Class,Mass (g),Fork Length (cm),Note
BRWH03,0.890515169,FALSE,TRUE,Von_Biela,,,SS01,2022-07-24,70.29305,-147.79890,Foggy Island Bay,,Broad Whitefish,,,11.1,11.0,"VVB fish, Net ID = FN-2022-02, FISHID = NA"
PG-2,0.941094278,FALSE,TRUE,Bering Sea,NBS2022,202202,22,2022-09-09,62.5025,-169.015,,,Humpy shrimp,Pandalus goniurus,,1.4,,"No barcode, composite sample, n = 3, no lengths taken, mass is average"
3383,0.973378816,FALSE,TRUE,Bering Sea,NBS2022,202202,34,2022-09-14,64.9811,-167.5343,,2022-10-17,Sand Lance,Ammodytes hexapterus,Age 1+,11.1,13.4,
3386,0.992211463,FALSE,TRUE,Bering Sea,NBS2022,202202,34,2022-09-14,64.9811,-167.5343,,2022-10-17,Sand Lance,Ammodytes hexapterus,Age 1+,11.9,14.9,
1585,0.999744522,FALSE,TRUE,Bering Sea,NBS2021,202101,7,2021-09-01,60.4999,-168.9578,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,4.1,7.7,
LD003,1.027186379,FALSE,TRUE,Bering Sea,NBS2022,202202,1,,,,,,Longhead Dab,,,0.4,2.8,"No barcode, composite sample, n = 4,  mass and length are averages"
3001,1.039024043,FALSE,TRUE,Bering Sea,NBS2022,202202,6,2022-09-03,60.5045,-167.979,,,Capelin,Mallotus villosus,NA,2.8,8.4,
ARCI01,1.086374698,FALSE,TRUE,Von_Biela,,,SS02,2018-07-22,70.27666,-147.77771,Foggy Island Bay,,Arctic Cisco,,,1.8,7.6,"VVB fish, Net ID = FN-2018-04-North, FishID = ARCI347"
2664,1.097136211,FALSE,TRUE,Bering Sea,NBS2022,NW2201,40,2022-09-16,64.1004,-164.5063,,,Pacific Herring,Clupea pallasi,Age 1+,43.2,16.4,
2940-c,1.160629135,FALSE,TRUE,Bering Sea,NBS2022,202202,3,2022-09-02,60.0252,-170.0605,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,0.9,4.9,"Composite sample, n = 2, individuals = 2940, 2939, mass and length are averages"
2978,1.181076009,FALSE,TRUE,Bering Sea,NBS2022,202202,5,2022-09-03,60.5219,-169.0082,,2022-10-17,Capelin,Mallotus villosus,NA,5.3,10.1,
1525,1.211208245,FALSE,TRUE,Bering Sea,NBS2021,202101,3,08212017 01:47:14.418,59.9972,-170.0025,,,Pacific cod (age 0),Gadus macrocephalus (age 0),Age 0,2.0,6.4,
2604,1.218203228,FALSE,TRUE,Bering Sea,NBS2022,NW2201,39,2022-09-15,64.0997,-163.4911,,,Pacific Herring (age 0),Clupea pallasi,Age 0,3.5,7.1,
904,1.253716219,FALSE,TRUE,Bering Sea,NBS2022,202202,10,2022-09-05,60.998,-168.9933333,,,Capelin,Mallotus villosus,NA,4.7,8.7,
SUSM03,1.289229211,FALSE,TRUE,Southeast,SECM2022,202202,Zimobre Straight Station G,2022-08-04,56.2585,-132.3679,,,Surf Smelt,Hypomesus pretiosus,,42.6,16.3,
2815,1.436123858,FALSE,TRUE,Bering Sea,NBS2022,202202,1,2022-09-01,60.0074,-168.0721,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,2.6,6.4,
ARCO10,1.448499598,FALSE,TRUE,Von_Biela,,,LB03,2022-08-19,70.14299,-146.02219,Flaxman Island,,Arctic Cod,,,10.5,11.3,"VVB fish, Net ID = FN-2022-10, FISHID = NA"
ARCO01,1.475403379,FALSE,TRUE,Von_Biela,,,LB02,2021-07-28,70.18504,-146.05629,Flaxman Island,,Arctic Cod,,,1.9,7.0,"VVB fish, Net ID = FN-2021-05, FISHID = NA"
2668,1.479707984,FALSE,TRUE,Bering Sea,NBS2022,NW2201,40,2022-09-16,64.1004,-164.5063,,,Pacific Herring,Clupea pallasi,Age 1+,11.2,11.1,"Processed with light on, tube may be mislabeled 2268"
3204,1.485626816,FALSE,TRUE,Bering Sea,NBS2022,202202,23,2022-09-10,62.9915,-166.9599,,2022-10-17,Rainbow Smelt,Osmerus mordax,NA,27.6,14.9,
ARCO08,1.612612665,FALSE,TRUE,Von_Biela,,,SS01,2021-07-24,70.29290,-147.79823,Foggy Island Bay,,Arctic Cod,,,8.9,10.3,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
2615-c,1.658349094,FALSE,TRUE,Bering Sea,NBS2022,NW2201,39,2022-09-15,64.0997,-163.4911,,,Pacific Herring (age 0),Clupea pallasi,Age 0,1.9,6.6,"Composite sample, n = 2, individuals = 2615, 2614, mass and length are averages"
928,1.670724833,FALSE,TRUE,Southeast,SECM2022,ME22,,2022-07-28,58.2261,-134.6112,,,Pacific Herring,Clupea pallasi,,45.9,16.1,
2935-c,1.694400161,FALSE,TRUE,Bering Sea,NBS2022,202202,3,2022-09-02,60.0252,-170.0605,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,0.8,4.8,"Composite sample, n = 2, individuals = 2935, 2938, mass and length are averages"
ARCI05,1.695476312,FALSE,TRUE,Von_Biela,,,LB01,2022-08-16,70.17207,-145.95714,Flaxman Island,,Arctic Cisco,,,16.9,12.6,"VVB fish, Net ID = FN-2022-06, FISHID = NA"
2933,1.708390127,FALSE,TRUE,Bering Sea,NBS2022,202202,3,2022-09-02,60.0252,-170.0605,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,1.2,5.2,
1658,1.724532396,FALSE,TRUE,Bering Sea,NBS2021,202101,11,2021-09-02,61.007,-168.0525,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,3.7,7.9,
BRWH02,1.768654598,FALSE,TRUE,Von_Biela,,,SS01,2022-07-23,70.29305,-147.79890,Foggy Island Bay,,Broad Whitefish,,,9.0,10.6,"VVB fish, Net ID = FN-2202-01, FISH ID = NA"
3283,1.7708069,FALSE,TRUE,Bering Sea,NBS2022,202202,28,2022-09-12,63.4991,-167.0056,,,Gonatus Squid,Gonatus kamtschaticus,NA,10.5,11.0,Total length
2911-c,1.77457343,FALSE,TRUE,Bering Sea,NBS2022,202202,2,2022-09-02,59.9944,-169.0626,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,0.7,4.2,"Composite sample, n = 4, individuals = 2911, 2912, 2910, 2909, mass and length are averages"
1599,1.801477211,FALSE,TRUE,Bering Sea,NBS2021,202101,8,2021-09-01,60.5041,-167.9788,,,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,4.2,8.1,
BRWH01,1.824614463,FALSE,TRUE,Von_Biela,,,SS01,2022-07-24,70.29305,-147.79890,Foggy Island Bay,,Broad Whitefish,,,11.2,9.8,"VVB fish, Net ID = FN2202-02, FISHID = NA"
GH-4,1.832685598,FALSE,TRUE,Bering Sea,NBS2022,202202,1,2022-09-01,60.0074,-168.0721,,,Greenland turbot,Reinhardtius hippoglossoides,Larval,1.5,6.4,"No barcode, composite sample, n = 3, labeled Greenland halibut, mass and length are averages"
1699,1.86819859,FALSE,TRUE,Bering Sea,NBS2021,202101,13,2021-09-03,61.0093,-170.0152,,,Pacific Herring,Clupea pallasi,Age 1+,101.9,22.1,
3387,1.910168489,FALSE,TRUE,Bering Sea,NBS2022,202202,34,2022-09-14,64.9811,-167.5343,,2022-10-17,Sand Lance,Ammodytes hexapterus,Age 1+,12.3,14.2,
BRWH06,2.004331724,FALSE,TRUE,Von_Biela,,,SS01,2018-07-23,70.2929,-147.79823,Foggy Island Bay,,Broad Whitefish,,,33.7,14.8,"VVB fish, Net ID = FN-2018-05-East, FISHID = BRWH158"
1682c,2.032311657,FALSE,TRUE,Bering Sea,NBS2021,202101,12,2021-09-03,61.0247,-169.0165,,,Sand Lance,Ammodytes hexapterus,,0.4,5.4,"Composite sample, n = 5, individuals = 1682-85, 1691, mass and length are averages"
925,2.093114203,FALSE,TRUE,Southeast,SECM2022,ME22,,2022-07-28,58.2261,-134.6112,,,Pacific Herring,Clupea pallasi,,49.2,16.4,
924,2.144769464,FALSE,TRUE,Southeast,SECM2022,ME22,,2022-07-28,58.2261,-134.6112,,,Pacific Herring,Clupea pallasi,,56.4,18.0,
FOSC09,2.159297506,FALSE,TRUE,Von_Biela,,,SS01,2022-08-13,70.29305,-147.79890,Foggy Island Bay,,Fourhorn Sculpin,,,15.6,11.9,"VVB fish, Net ID = FN-2022-03, FISHID = NA"
FOSC07,2.187815514,FALSE,TRUE,Von_Biela,,,LB01,2021-07-25,70.17283,-145.95804,Flaxman Island,,Fourhorn Sculpin,,,5.5,8.9,"VVB fish, Net ID = FN-2021-03, FISHID = NA"
3455,2.191582044,FALSE,TRUE,Bering Sea,NBS2022,202202,37,2022-09-15,63.9921,-165.9651,,2022-10-17,Gonatus Squid,Gonatus kamtschaticus,NA,22.9,10.5,Total length
1700,2.207186237,FALSE,TRUE,Bering Sea,NBS2021,202101,13,2021-09-03,61.0093,-170.0152,,,Pacific Herring,Clupea pallasi,Age 1+,57.0,19.0,
ARCI02,2.364842397,FALSE,TRUE,Von_Biela,,,SL01,2018-07-26,70.5156,-149.46765,Simpson Lagoon,,Arctic Cisco,,,5.0,8.5,"VVB fish, Net ID = FN-2018-09, FISHID = ARCI346"
2606,2.40627422,FALSE,TRUE,Bering Sea,NBS2022,NW2201,39,2022-09-15,64.0997,-163.4911,,,Pacific Herring (age 0),Clupea pallasi,Age 0,2.3,6.8,
3446,2.502589758,FALSE,TRUE,Bering Sea,NBS2022,202202,37,2022-09-15,63.9921,-165.9651,,,Saffron Cod,Eleginus gracilis,NA,1.5,5.3,
2671,2.546173884,FALSE,TRUE,Bering Sea,NBS2022,NW2201,40,2022-09-16,64.1004,-164.5063,,,Pacific Herring,Clupea pallasi,Age 1+,16.2,11.6,Processed with light on
BRWH05,2.595676842,FALSE,TRUE,Von_Biela,,,SS01,2021-07-22,70.29290,-147.79823,Foggy Island Bay,,Broad Whitefish,,,14.5,12.8,"VVB fish, Net ID = FN-2021-01, FISHID = NA"
ARCI03,2.795840977,FALSE,TRUE,Von_Biela,,,LB01,2022-08-16,70.17207,-145.95714,Flaxman Island,,Arctic Cisco,,,9.0,11.0,"VVB fish, Net ID = FN-2022-06, FISHID = NA"
BRWH04,2.850186615,FALSE,TRUE,Von_Biela,,,SS01,2022-07-24,70.29305,-147.79890,Foggy Island Bay,,Broad Whitefish,,,13.3,11.1,"VVB fish, Net ID = FN-2022-02, FISHID = NA"
3454,2.944887926,FALSE,TRUE,Bering Sea,NBS2022,202202,37,2022-09-15,63.9921,-165.9651,,2022-10-17,Gonatus Squid,Gonatus kamtschaticus,NA,9.7,8.9,Total length
SUSM02,2.947578305,FALSE,TRUE,Southeast,SECM2022,202202,Zimobre Straight Station G,2022-08-04,56.2585,-132.3679,,,Surf Smelt,Hypomesus pretiosus,,43.5,15.8,
2623-c,3.058421884,FALSE,TRUE,Bering Sea,NBS2022,NW2201,39,2022-09-15,64.0997,-163.4911,,,Pacific Herring (age 0),Clupea pallasi,Age 0,1.6,6.0,"Composite sample, n = 2, individuals = 2623, 2622, mass and length are averages"
926,3.180565053,FALSE,TRUE,Southeast,SECM2022,ME22,,2022-07-28,58.2261,-134.6112,,,Pacific Herring,Clupea pallasi,,41.9,16.0,
2666,3.569593734,FALSE,TRUE,Bering Sea,NBS2022,NW2201,40,2022-09-16,64.1004,-164.5063,,,Pacific Herring,Clupea pallasi,Age 1+,37.5,14.8,Processed with light on
3447,3.597573666,FALSE,TRUE,Bering Sea,NBS2022,202202,37,2022-09-15,63.9921,-165.9651,,,Saffron Cod,Eleginus gracilis,NA,2.5,5.8,
ARCI10,3.631472431,FALSE,TRUE,Von_Biela,,,SS02,2019-07-30,70.27666,-147.77771,Foggy Island Bay,,Arctic Cisco,,,40.3,16.0,"VVB fish, Net ID = FN-2019-09-South, FISHID = ARCI344"
SUSM09,3.837017322,FALSE,TRUE,Southeast,SECM2022,202202,Zimobre Straight Station G,2022-08-04,56.2585,-132.3679,,,Surf Smelt,Hypomesus pretiosus,,43.4,16.4,
SUSM11,4.0958317,FALSE,TRUE,Southeast,SECM2022,202202,Zimobre Straight Station G,2022-08-04,56.2585,-132.3679,,,Surf Smelt,Hypomesus pretiosus,,39.7,15.1,
SUSM01,4.546739079,FALSE,TRUE,Southeast,SECM2022,202202,Zimobre Straight Station G,2022-08-04,56.2585,-132.3679,,,Surf Smelt,Hypomesus pretiosus,,43.5,16.2,
SUSM05,4.60323702,FALSE,TRUE,Southeast,SECM2022,202202,Zimobre Straight Station G,2022-08-04,56.2585,-132.3679,,,Surf Smelt,Hypomesus pretiosus,,38.9,16.0,
2670,4.847523356,FALSE,TRUE,Bering Sea,NBS2022,NW2201,40,2022-09-16,64.1004,-164.5063,,,Pacific Herring,Clupea pallasi,Age 1+,29.2,12.8,Processed with light on
920,4.879269818,FALSE,TRUE,Southeast,SECM2022,ME22,,2022-07-28,58.2261,-134.6112,,,Pacific Herring,Clupea pallasi,,48.2,16.0,
3313-c,4.997108382,FALSE,TRUE,Bering Sea,NBS2022,202202,30,2022-09-12,64.0008,-168.0068,,,Sand Lance,Ammodytes hexapterus,Age 0,0.5,5.2,"Composite sample, n = 4, individuals = 3313, 3320, 3319, 3318, mass and length are averages"
1150,5.788079559,FALSE,TRUE,Bering Sea,NBS2022,202202,26,2022-09-11,63.0175,-166.0092,,2022-10-07,Rainbow Smelt,Osmerus mordax,NA,19.4,14.5,
1151,6.206702399,FALSE,TRUE,Bering Sea,NBS2022,202202,26,2022-09-11,63.0175,-166.0092,,2022-10-07,Rainbow Smelt,Osmerus mordax,NA,20.9,14.4,
1568,7.198375786,FALSE,TRUE,Bering Sea,NBS2021,202101,6,2021-09-01,60.5035,-169.9368,,,Pacific Herring,Clupea pallasi,Age 1+,92.2,20.8,
1152,7.240345686,FALSE,TRUE,Bering Sea,NBS2022,202202,26,2022-09-11,63.0175,-166.0092,,2022-10-07,Rainbow Smelt,Osmerus mordax,NA,37.7,17.5,
RASM01,7.50830735,FALSE,TRUE,Von_Biela,,,SS01,2021-07-24,70.29290,-147.79823,Foggy Island Bay,,Rainbow Smelt,,,1.5,6.0,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
3444,7.81124393,FALSE,TRUE,Bering Sea,NBS2022,202202,37,2022-09-15,63.9921,-165.9651,,2022-10-17,Saffron Cod,Eleginus gracilis,NA,2.7,6.5,
ARCI07,8.102880921,FALSE,TRUE,Von_Biela,,,LB01,2021-07-25,70.17283,-145.95804,Flaxman Island,,Arctic Cisco,,,21.7,13.9,"VVB fish, Net ID = FN-2021-03, FISHID = NA"
RASM08,8.550021771,FALSE,TRUE,Von_Biela,,,LB01,2022-08-16,70.17207,-145.95714,Flaxman Island,,Rainbow Smelt,,,7.2,10.5,"VVB fish, Net ID = FN-2022-06, FISHID = NA"
1156,9.975384116,FALSE,TRUE,Bering Sea,NBS2022,202202,26,2022-09-11,63.0175,-166.0092,,2022-10-07,Rainbow Smelt,Osmerus mordax,NA,21.5,13.7,
1153,10.60385645,FALSE,TRUE,Bering Sea,NBS2022,202202,26,2022-09-11,63.0175,-166.0092,,2022-10-07,Rainbow Smelt,Osmerus mordax,NA,17.6,14.0,
RASM09,12.23691599,FALSE,TRUE,Von_Biela,,,SS01,2021-07-24,70.29290,-147.79823,Foggy Island Bay,,Rainbow Smelt,,,14.7,13.5,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
1058,13.57941469,FALSE,TRUE,Bering Sea,NBS2021,202101,10,2021-09-02,61.0072,-167.0247,,,Rainbow Smelt,Osmerus mordax,,41.9,17.6,
1154,14.48844863,FALSE,TRUE,Bering Sea,NBS2022,202202,26,2022-09-11,63.0175,-166.0092,,2022-09-30,Rainbow Smelt,Osmerus mordax,NA,29.8,15.6,
RASM06,15.2264642,FALSE,TRUE,Von_Biela,,,SS01,2022-07-24,70.29305,-147.79890,Foggy Island Bay,,Rainbow Smelt,,,5.4,9.5,"VVB fish, Net ID = FN-2022-02, FISHID = NA"
1255,15.73333144,FALSE,TRUE,Bering Sea,NBS2021,202101,31,2021-09-09,63.016,-166.006,,,Rainbow Smelt,Osmerus mordax,,8.5,10.8,
1155,16.09128625,FALSE,TRUE,Bering Sea,NBS2022,202202,26,2022-09-11,63.0175,-166.0092,,2022-09-30,Rainbow Smelt,Osmerus mordax,NA,22.1,14.0,
1256,16.51461725,FALSE,TRUE,Bering Sea,NBS2021,202101,31,2021-09-09,63.016,-166.006,,,Rainbow Smelt,Osmerus mordax,,30.1,15.0,
RASM02,17.29859345,FALSE,TRUE,Von_Biela,,,SS01,2021-07-24,70.29290,-147.79823,Foggy Island Bay,,Rainbow Smelt,,,1.2,6.3,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
RASM03,18.31824677,FALSE,TRUE,Von_Biela,,,SS01,2021-07-24,70.29290,-147.79823,Foggy Island Bay,,Rainbow Smelt,,,3.4,8.4,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
RASM07,18.33761749,FALSE,TRUE,Von_Biela,,,LB04,2022-08-19,70.15524,-146.11319,Flaxman Island,,Rainbow Smelt,,,5.1,9.8,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
RASM10,20.3909141,FALSE,TRUE,Von_Biela,,,LB04,2022-08-19,70.15524,-146.11319,Flaxman Island,,Rainbow Smelt,,,21.3,14.7,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
RASM05,29.02971835,FALSE,TRUE,Von_Biela,,,SS01,2022-07-23,70.29305,-147.79890,Foggy Island Bay,,Rainbow Smelt,,,4.4,9.5,"VVB fish, Net ID = FN-2022-01, FISHID = NA"
RASM04,32.97757925,FALSE,TRUE,Von_Biela,,,SS01,2022-07-23,70.29305,-147.79890,Foggy Island Bay,,Rainbow Smelt,,,3.5,8.8,"VVB fish, Net ID = FN-2022-01, FISHID = NA"
2110,33.89015552,FALSE,TRUE,Bering Sea,NBS2021,202101,37,2021-09-11,65.389,-167.9904,,,Rainbow Smelt,Osmerus mordax,,20.5,15.8,
1149,NA,NA,NA,Bering Sea,NBS2022,202202,26,2022-09-11,63.0175,-166.0092,,,Rainbow Smelt,Osmerus mordax,NA,25.5,15.1,
2980,NA,NA,NA,Bering Sea,NBS2022,202202,5,2022-09-03,60.5219,-169.0082,,,Capelin,Mallotus villosus,NA,2.5,7.8,
2998,NA,NA,NA,Bering Sea,NBS2022,202202,6,2022-09-03,60.5045,-167.979,,,Capelin,Mallotus villosus,NA,3.9,8.5,
2613-c,NA,NA,NA,Bering Sea,NBS2022,NW2201,39,2022-09-15,64.0997,-163.4911,,,Pacific Herring (age 0),Clupea pallasi,Age 0,1.9,6.2,"Composite sample, n = 3, individuals = 2613, 2612, 2611, mass and length are averages"
2621-c,NA,NA,NA,Bering Sea,NBS2022,NW2201,39,2022-09-15,64.0997,-163.4911,,,Pacific Herring (age 0),Clupea pallasi,Age 0,2.3,6.5,"Composite sample, n = 2, individuals = 2621, 2620, mass and length are averages"
3106-c,NA,NA,NA,Bering Sea,NBS2022,202202,13,2022-09-06,61.5012,-168.9561,,,Sand Lance,Ammodytes hexapterus,Age 0,0.7,5.2,"Composite sample, n = 3, individuals = 3106, 3107, 3108, mass and length are averages"
ARCI06,NA,NA,NA,Von_Biela,,,SS02,2019-07-30,70.27666,-147.77771,Foggy Island Bay,,Arctic Cisco,,,18.0,13.3,"VVB fish, Net ID = FN-2019-09-South, FISHID = ARCI343"
BRWH10,NA,NA,NA,Von_Biela,,,SL77,2019-07-22,70.49861,-149.59874,Simpson Lagoon,,Broad Whitefish,,,66.4,19.0,"VVB fish, Net ID = FN-2019-02-West, FISHID = BRWH162"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
