Sample ID,Thiaminase_Activity,SD_Line,Detect_Limit,No_detect,,Signal.Noise,Area,Survey,Station,Catch Date,Latitude,Longitude,Region,Analysis Date,Species,Scientific,Age Class,Mass (g),Fork Length (cm),Note
1149,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,NA,Rainbow Smelt,Osmerus mordax,NA,25.5,15.1,
2980,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,5,9/3/2022,60.5219,-169.0082,,NA,Capelin,Mallotus villosus,NA,2.5,7.8,
2998,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,6,9/3/2022,60.5045,-167.979,,NA,Capelin,Mallotus villosus,NA,3.9,8.5,
3000,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,6,9/3/2022,60.5045,-167.979,,NA,Capelin,Mallotus villosus,NA,4.8,8.8,
2613-c,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,NA,Pacific Herring (age 0),Clupea pallasi,Age 0,1.9,6.2,"Composite sample, n = 3, individuals = 2613, 2612, 2611, mass and length are averages"
2621-c,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,NA,Pacific Herring (age 0),Clupea pallasi,Age 0,2.3,6.5,"Composite sample, n = 2, individuals = 2621, 2620, mass and length are averages"
3106-c,NA,NA,NA,NA,,NA,Bering Sea,NBS2022,13,9/6/2022,61.5012,-168.9561,,NA,Sand Lance,Ammodytes hexapterus,Age 0,0.7,5.2,"Composite sample, n = 3, individuals = 3106, 3107, 3108, mass and length are averages"
ARCI06,NA,NA,NA,NA,,NA,Von_Biela,VVB,SS02,7/30/2019,70.27666,-147.77771,Foggy Island Bay,NA,Arctic Cisco,,,18,13.3,"VVB fish, Net ID = FN-2019-09-South, FISHID = ARCI343"
BRWH10,NA,NA,NA,NA,,NA,Von_Biela,VVB,SL77,7/22/2019,70.49861,-149.59874,Simpson Lagoon,NA,Broad Whitefish,,,66.4,19,"VVB fish, Net ID = FN-2019-02-West, FISHID = BRWH162"
904,1.253716219,0.168551781,0.505655343,FALSE,1.253716219,TRUE,Bering Sea,NBS2022,10,9/5/2022,60.998,-168.9933333,,12/9/2022,Capelin,Mallotus villosus,NA,4.7,8.7,
907,0.408399404,0.093050386,0.279151159,FALSE,0.408399404,TRUE,Bering Sea,NBS2022,10,9/5/2022,60.998,-168.9933333,,12/9/2022,Capelin,Mallotus villosus,NA,4.4,8.6,
920,4.879269818,0.105426338,0.316279013,FALSE,4.879269818,TRUE,Southeast,SECM2022,,7/28/2022,58.2261,-134.6112,,12/12/2022,Pacific Herring,Clupea pallasi,,48.2,16,
924,2.144769464,0.196738233,0.590214698,FALSE,2.144769464,TRUE,Southeast,SECM2022,,7/28/2022,58.2261,-134.6112,,12/8/2022,Pacific Herring,Clupea pallasi,,56.4,18,
925,2.093114203,0.127801242,0.383403726,FALSE,2.093114203,TRUE,Southeast,SECM2022,,7/28/2022,58.2261,-134.6112,,12/12/2022,Pacific Herring,Clupea pallasi,,49.2,16.4,
926,3.180565053,0.123354252,0.370062757,FALSE,3.180565053,TRUE,Southeast,SECM2022,,7/28/2022,58.2261,-134.6112,,12/9/2022,Pacific Herring,Clupea pallasi,,41.9,16,
928,1.670724833,0.152570693,0.457712079,FALSE,1.670724833,TRUE,Southeast,SECM2022,,7/28/2022,58.2261,-134.6112,,12/9/2022,Pacific Herring,Clupea pallasi,,45.9,16.1,
1058,13.57941469,0.470199036,1.410597108,FALSE,13.57941469,TRUE,Bering Sea,NBS2021,10,9/2/2021,61.0072,-167.0247,,12/8/2022,Rainbow Smelt,Osmerus mordax,,41.9,17.6,
1150,5.788079559,0.158757597,0.476272792,FALSE,5.788079559,TRUE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,10/7/2022,Rainbow Smelt,Osmerus mordax,NA,19.4,14.5,
1151,6.206702399,0.230779124,0.692337372,FALSE,6.206702399,TRUE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,10/7/2022,Rainbow Smelt,Osmerus mordax,NA,20.9,14.4,
1152,7.240345686,0.553701028,1.661103084,FALSE,7.240345686,TRUE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,10/7/2022,Rainbow Smelt,Osmerus mordax,NA,37.7,17.5,
1153,10.60385645,0.454097833,1.362293498,FALSE,10.60385645,TRUE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,10/7/2022,Rainbow Smelt,Osmerus mordax,NA,17.6,14,
1154,14.48844863,0,0,FALSE,14.48844863,TRUE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,9/30/2022,Rainbow Smelt,Osmerus mordax,NA,29.8,15.6,
1155,16.09128625,1.147999715,3.443999144,FALSE,16.09128625,TRUE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,9/30/2022,Rainbow Smelt,Osmerus mordax,NA,22.1,14,
1156,9.975384116,0.335557406,1.006672217,FALSE,9.975384116,TRUE,Bering Sea,NBS2022,26,9/11/2022,63.0175,-166.0092,,10/7/2022,Rainbow Smelt,Osmerus mordax,NA,21.5,13.7,
1255,15.73333144,0.287390926,0.862172778,FALSE,15.73333144,TRUE,Bering Sea,NBS2021,31,9/9/2021,63.016,-166.006,,12/8/2022,Rainbow Smelt,Osmerus mordax,,8.5,10.8,
1256,16.51461725,0.592162844,1.776488532,FALSE,16.51461725,TRUE,Bering Sea,NBS2021,31,9/9/2021,63.016,-166.006,,12/8/2022,Rainbow Smelt,Osmerus mordax,,30.1,15,
1525,1.211208245,0.053319209,0.159957628,FALSE,1.211208245,TRUE,Bering Sea,NBS2021,3,08212017 01:47:14.418,59.9972,-170.0025,,12/7/2022,Pacific cod (age 0),Gadus macrocephalus (age 0),Age 0,2,6.4,
1568,7.198375786,0.22231912,0.66695736,FALSE,7.198375786,TRUE,Bering Sea,NBS2021,6,9/1/2021,60.5035,-169.9368,,12/12/2022,Pacific Herring,Clupea pallasi,Age 1+,92.2,20.8,
1585,0.999744522,0.060297033,0.180891099,FALSE,0.999744522,TRUE,Bering Sea,NBS2021,7,9/1/2021,60.4999,-168.9578,,12/8/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,4.1,7.7,
1599,1.801477211,0.052900511,0.158701532,FALSE,1.801477211,TRUE,Bering Sea,NBS2021,8,9/1/2021,60.5041,-167.9788,,12/8/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,4.2,8.1,
1658,1.724532396,0.075975182,0.227925547,FALSE,1.724532396,TRUE,Bering Sea,NBS2021,11,9/2/2021,61.007,-168.0525,,12/8/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,3.7,7.9,
1699,1.86819859,0.061836692,0.185510076,FALSE,1.86819859,TRUE,Bering Sea,NBS2021,13,9/3/2021,61.0093,-170.0152,,12/7/2022,Pacific Herring,Clupea pallasi,Age 1+,101.9,22.1,
1700,2.207186237,0.056159971,0.168479912,FALSE,2.207186237,TRUE,Bering Sea,NBS2021,13,9/3/2021,61.0093,-170.0152,,12/7/2022,Pacific Herring,Clupea pallasi,Age 1+,57,19,
2110,33.89015552,0.857101845,2.571305536,FALSE,33.89015552,TRUE,Bering Sea,NBS2021,37,9/11/2021,65.389,-167.9904,,12/8/2022,Rainbow Smelt,Osmerus mordax,,20.5,15.8,
2145,0.765143547,0.070131154,0.210393461,FALSE,0.765143547,TRUE,Bering Sea,NBS2021,39,9/12/2021,64.503,-167.0381,,12/8/2022,Capelin,Mallotus villosus,,3.9,8.6,
2604,1.218203228,0.105909499,0.317728496,FALSE,1.218203228,TRUE,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,12/6/2022,Pacific Herring (age 0),Clupea pallasi,Age 0,3.5,7.1,
2606,2.40627422,0.051148903,0.153446708,FALSE,2.40627422,TRUE,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,12/7/2022,Pacific Herring (age 0),Clupea pallasi,Age 0,2.3,6.8,
2664,1.097136211,0.201176326,0.603528979,FALSE,1.097136211,TRUE,Bering Sea,NBS2022,40,9/16/2022,64.1004,-164.5063,,12/12/2022,Pacific Herring,Clupea pallasi,Age 1+,43.2,16.4,
2666,3.569593734,0.112855609,0.338566827,FALSE,3.569593734,TRUE,Bering Sea,NBS2022,40,9/16/2022,64.1004,-164.5063,,12/12/2022,Pacific Herring,Clupea pallasi,Age 1+,37.5,14.8,Processed with light on
2668,1.479707984,0.187518275,0.562554824,FALSE,1.479707984,TRUE,Bering Sea,NBS2022,40,9/16/2022,64.1004,-164.5063,,12/7/2022,Pacific Herring,Clupea pallasi,Age 1+,11.2,11.1,"Processed with light on, tube may be mislabeled 2268"
2670,4.847523356,0.046491126,0.139473377,FALSE,4.847523356,TRUE,Bering Sea,NBS2022,40,9/16/2022,64.1004,-164.5063,,12/12/2022,Pacific Herring,Clupea pallasi,Age 1+,29.2,12.8,Processed with light on
2671,2.546173884,0.082482934,0.247448801,FALSE,2.546173884,TRUE,Bering Sea,NBS2022,40,9/16/2022,64.1004,-164.5063,,12/12/2022,Pacific Herring,Clupea pallasi,Age 1+,16.2,11.6,Processed with light on
2815,1.436123858,0.07403149,0.222094471,FALSE,1.436123858,TRUE,Bering Sea,NBS2022,1,9/1/2022,60.0074,-168.0721,,12/7/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,2.6,6.4,
2933,1.708390127,0.187100082,0.561300245,FALSE,1.708390127,TRUE,Bering Sea,NBS2022,3,9/2/2022,60.0252,-170.0605,,12/9/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,1.2,5.2,
2978,1.181076009,0.060749418,0.182248253,FALSE,1.181076009,TRUE,Bering Sea,NBS2022,5,9/3/2022,60.5219,-169.0082,,12/9/2022,Capelin,Mallotus villosus,NA,5.3,10.1,
2981,0.765143547,0.044270042,0.132810125,FALSE,0.765143547,TRUE,Bering Sea,NBS2022,5,9/3/2022,60.5219,-169.0082,,10/17/2022,Capelin,Mallotus villosus,NA,4.3,9.3,
3001,1.039024043,0.057715746,0.173147238,FALSE,1.039024043,TRUE,Bering Sea,NBS2022,6,9/3/2022,60.5045,-167.979,,12/9/2022,Capelin,Mallotus villosus,NA,2.8,8.4,
3204,1.485626816,0.083536471,0.250609413,FALSE,1.485626816,TRUE,Bering Sea,NBS2022,23,9/10/2022,62.9915,-166.9599,,10/17/2022,Rainbow Smelt,Osmerus mordax,NA,27.6,14.9,
3283,1.7708069,0.061152936,0.183458809,FALSE,1.7708069,TRUE,Bering Sea,NBS2022,28,9/12/2022,63.4991,-167.0056,,12/9/2022,Gonatus Squid,Gonatus kamtschaticus,NA,10.5,11,Total length
3284,0.52085721,0.054203552,0.162610657,FALSE,0.52085721,TRUE,Bering Sea,NBS2022,28,9/12/2022,63.4991,-167.0056,,10/17/2022,Gonatus Squid,Gonatus kamtschaticus,NA,7.6,9.4,Total length
3285,0.526776042,0.051452276,0.154356828,FALSE,0.526776042,TRUE,Bering Sea,NBS2022,28,9/12/2022,63.4991,-167.0056,,10/17/2022,Gonatus Squid,Gonatus kamtschaticus,NA,6.3,7.6,Total length
3383,0.973378816,0.046471067,0.1394132,FALSE,0.973378816,TRUE,Bering Sea,NBS2022,34,9/14/2022,64.9811,-167.5343,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 1+,11.1,13.4,
3385,0.600492404,0.058872591,0.176617773,FALSE,0.600492404,TRUE,Bering Sea,NBS2022,34,9/14/2022,64.9811,-167.5343,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 1+,10.2,13.8,
3386,0.992211463,0.05937143,0.178114289,FALSE,0.992211463,TRUE,Bering Sea,NBS2022,34,9/14/2022,64.9811,-167.5343,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 1+,11.9,14.9,
3387,1.910168489,0.053829446,0.161488339,FALSE,1.910168489,TRUE,Bering Sea,NBS2022,34,9/14/2022,64.9811,-167.5343,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 1+,12.3,14.2,
3389,0.663985328,0.047671255,0.143013764,FALSE,0.663985328,TRUE,Bering Sea,NBS2022,34,9/14/2022,64.9811,-167.5343,,10/17/2022,Sand Lance,Ammodytes hexapterus,Age 1+,13.1,14.3,
3444,7.81124393,0.053548435,0.160645304,FALSE,7.81124393,TRUE,Bering Sea,NBS2022,37,9/15/2022,63.9921,-165.9651,,10/17/2022,Saffron Cod,Eleginus gracilis,NA,2.7,6.5,
3445,0.754382034,0.07208008,0.21624024,FALSE,0.754382034,TRUE,Bering Sea,NBS2022,37,9/15/2022,63.9921,-165.9651,,10/17/2022,Saffron Cod,Eleginus gracilis,NA,2.6,6.4,
3446,2.502589758,0.103809558,0.311428674,FALSE,2.502589758,TRUE,Bering Sea,NBS2022,37,9/15/2022,63.9921,-165.9651,,12/9/2022,Saffron Cod,Eleginus gracilis,NA,1.5,5.3,
3447,3.597573666,0.099515617,0.298546852,FALSE,3.597573666,TRUE,Bering Sea,NBS2022,37,9/15/2022,63.9921,-165.9651,,12/9/2022,Saffron Cod,Eleginus gracilis,NA,2.5,5.8,
3454,2.944887926,0.04435155,0.13305465,FALSE,2.944887926,TRUE,Bering Sea,NBS2022,37,9/15/2022,63.9921,-165.9651,,10/17/2022,Gonatus Squid,Gonatus kamtschaticus,NA,9.7,8.9,Total length
3455,2.191582044,0.041899394,0.125698183,FALSE,2.191582044,TRUE,Bering Sea,NBS2022,37,9/15/2022,63.9921,-165.9651,,10/17/2022,Gonatus Squid,Gonatus kamtschaticus,NA,22.9,10.5,Total length
1682c,2.032311657,0.053414472,0.160243416,FALSE,2.032311657,TRUE,Bering Sea,NBS2021,12,9/3/2021,61.0247,-169.0165,,12/8/2022,Sand Lance,Ammodytes hexapterus,,0.4,5.4,"Composite sample, n = 5, individuals = 1682-85, 1691, mass and length are averages"
2608-c,0.400866345,0.060769609,0.182308826,FALSE,0.400866345,TRUE,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,12/6/2022,Pacific Herring (age 0),Clupea pallasi,Age 0,2.1,6.5,"Composite sample, n = 2, individuals = 2608, 2607, mass and length are averages"
2615-c,1.658349094,0.072559809,0.217679427,FALSE,1.658349094,TRUE,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,12/6/2022,Pacific Herring (age 0),Clupea pallasi,Age 0,1.9,6.6,"Composite sample, n = 2, individuals = 2615, 2614, mass and length are averages"
2623-c,3.058421884,0.055284067,0.165852202,FALSE,3.058421884,TRUE,Bering Sea,NBS2022,39,9/15/2022,64.0997,-163.4911,,12/6/2022,Pacific Herring (age 0),Clupea pallasi,Age 0,1.6,6,"Composite sample, n = 2, individuals = 2623, 2622, mass and length are averages"
2814-c,0.534309101,0.05269301,0.158079031,FALSE,0.534309101,TRUE,Bering Sea,NBS2022,1,9/1/2022,60.0074,-168.0721,,12/6/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,1.4,5.3,"Composite sample, n = 3, individuals = 2814, 2813, 2812, mass and length are averages"
2911-c,1.77457343,0.059733666,0.179200998,FALSE,1.77457343,TRUE,Bering Sea,NBS2022,2,9/2/2022,59.9944,-169.0626,,12/7/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,0.7,4.2,"Composite sample, n = 4, individuals = 2911, 2912, 2910, 2909, mass and length are averages"
2935-c,1.694400161,0.075491286,0.226473858,FALSE,1.694400161,TRUE,Bering Sea,NBS2022,3,9/2/2022,60.0252,-170.0605,,12/9/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,0.8,4.8,"Composite sample, n = 2, individuals = 2935, 2938, mass and length are averages"
2940-c,1.160629135,0.064578613,0.193735839,FALSE,1.160629135,TRUE,Bering Sea,NBS2022,3,9/2/2022,60.0252,-170.0605,,12/9/2022,Walleye Pollock (age 0),Gadus chalcogrammus (age 0),Age 0,0.9,4.9,"Composite sample, n = 2, individuals = 2940, 2939, mass and length are averages"
2986-c,0.277647025,0.073932161,0.221796483,FALSE,0.277647025,TRUE,Bering Sea,NBS2022,5,9/3/2022,60.5219,-169.0082,,12/7/2022,Longhead Dab,Limanda proboscidea,Larval,0.2,2,"Composite sample, n = 3, individuals = 2986, 2988, 2987, mass and length are averages"
3313-c,4.997108382,0.099739902,0.299219706,FALSE,4.997108382,TRUE,Bering Sea,NBS2022,30,9/12/2022,64.0008,-168.0068,,12/6/2022,Sand Lance,Ammodytes hexapterus,Age 0,0.5,5.2,"Composite sample, n = 4, individuals = 3313, 3320, 3319, 3318, mass and length are averages"
ARCI01,1.086374698,0.070426617,0.211279852,FALSE,1.086374698,TRUE,Von_Biela,VVB,SS02,7/22/2018,70.27666,-147.77771,Foggy Island Bay,12/8/2022,Arctic Cisco,,,1.8,7.6,"VVB fish, Net ID = FN-2018-04-North, FishID = ARCI347"
ARCI02,2.364842397,0.15406063,0.462181889,FALSE,2.364842397,TRUE,Von_Biela,VVB,SL01,7/26/2018,70.5156,-149.46765,Simpson Lagoon,12/9/2022,Arctic Cisco,,,5,8.5,"VVB fish, Net ID = FN-2018-09, FISHID = ARCI346"
ARCI03,2.795840977,0.063063609,0.189190828,FALSE,2.795840977,TRUE,Von_Biela,VVB,LB01,8/16/2022,70.17207,-145.95714,Flaxman Island,12/9/2022,Arctic Cisco,,,9,11,"VVB fish, Net ID = FN-2022-06, FISHID = NA"
ARCI05,1.695476312,0.09993916,0.29981748,FALSE,1.695476312,TRUE,Von_Biela,VVB,LB01,8/16/2022,70.17207,-145.95714,Flaxman Island,12/9/2022,Arctic Cisco,,,16.9,12.6,"VVB fish, Net ID = FN-2022-06, FISHID = NA"
ARCI07,8.102880921,0.273951798,0.821855393,FALSE,8.102880921,TRUE,Von_Biela,VVB,LB01,7/25/2021,70.17283,-145.95804,Flaxman Island,12/12/2022,Arctic Cisco,,,21.7,13.9,"VVB fish, Net ID = FN-2021-03, FISHID = NA"
ARCI08,0.863073312,0.052539731,0.157619193,FALSE,0.863073312,TRUE,Von_Biela,VVB,SL77,7/23/2019,70.49861,-149.59874,Simpson Lagoon,12/9/2022,Arctic Cisco,,,34,15,"VVB fish, Net ID = FN-2019-02-East, FISHID = ARCI345"
ARCI10,3.631472431,0.065517386,0.196552158,FALSE,3.631472431,TRUE,Von_Biela,VVB,SS02,7/30/2019,70.27666,-147.77771,Foggy Island Bay,12/9/2022,Arctic Cisco,,,40.3,16,"VVB fish, Net ID = FN-2019-09-South, FISHID = ARCI344"
ARCO01,1.475403379,0.133505257,0.400515772,FALSE,1.475403379,TRUE,Von_Biela,VVB,LB02,7/28/2021,70.18504,-146.05629,Flaxman Island,12/8/2022,Arctic Cod,,,1.9,7,"VVB fish, Net ID = FN-2021-05, FISHID = NA"
ARCO07,0.499334185,0.08403305,0.252099151,FALSE,0.499334185,TRUE,Von_Biela,VVB,LB03,8/19/2022,70.14299,-146.02219,Flaxman Island,12/8/2022,Arctic Cod,,,10.6,9.9,"VVB fish, Net ID = FN-2022-10, FISHID = NA"
ARCO08,1.612612665,0.144478542,0.433435625,FALSE,1.612612665,TRUE,Von_Biela,VVB,SS01,7/24/2021,70.2929,-147.79823,Foggy Island Bay,12/7/2022,Arctic Cod,,,8.9,10.3,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
ARCO10,1.448499598,0.058699462,0.176098387,FALSE,1.448499598,TRUE,Von_Biela,VVB,LB03,8/19/2022,70.14299,-146.02219,Flaxman Island,12/7/2022,Arctic Cod,,,10.5,11.3,"VVB fish, Net ID = FN-2022-10, FISHID = NA"
BRWH01,1.824614463,0.05514253,0.165427591,FALSE,1.824614463,TRUE,Von_Biela,VVB,SS01,7/24/2022,70.29305,-147.7989,Foggy Island Bay,12/8/2022,Broad Whitefish,,,11.2,9.8,"VVB fish, Net ID = FN2202-02, FISHID = NA"
BRWH02,1.768654598,0.055532358,0.166597075,FALSE,1.768654598,TRUE,Von_Biela,VVB,SS01,7/23/2022,70.29305,-147.7989,Foggy Island Bay,12/8/2022,Broad Whitefish,,,9,10.6,"VVB fish, Net ID = FN-2202-01, FISH ID = NA"
BRWH03,0.890515169,0.170521405,0.511564215,FALSE,0.890515169,TRUE,Von_Biela,VVB,SS01,7/24/2022,70.29305,-147.7989,Foggy Island Bay,12/8/2022,Broad Whitefish,,,11.1,11,"VVB fish, Net ID = FN-2022-02, FISHID = NA"
BRWH04,2.850186615,0.057767247,0.173301742,FALSE,2.850186615,TRUE,Von_Biela,VVB,SS01,7/24/2022,70.29305,-147.7989,Foggy Island Bay,12/8/2022,Broad Whitefish,,,13.3,11.1,"VVB fish, Net ID = FN-2022-02, FISHID = NA"
BRWH05,2.595676842,0.075612907,0.226838722,FALSE,2.595676842,TRUE,Von_Biela,VVB,SS01,7/22/2021,70.2929,-147.79823,Foggy Island Bay,12/8/2022,Broad Whitefish,,,14.5,12.8,"VVB fish, Net ID = FN-2021-01, FISHID = NA"
BRWH06,2.004331724,0.057241748,0.171725243,FALSE,2.004331724,TRUE,Von_Biela,VVB,SS01,7/23/2018,70.2929,-147.79823,Foggy Island Bay,12/8/2022,Broad Whitefish,,,33.7,14.8,"VVB fish, Net ID = FN-2018-05-East, FISHID = BRWH158"
FOSC07,2.187815514,0.052325408,0.156976224,FALSE,2.187815514,TRUE,Von_Biela,VVB,LB01,7/25/2021,70.17283,-145.95804,Flaxman Island,12/12/2022,Fourhorn Sculpin,,,5.5,8.9,"VVB fish, Net ID = FN-2021-03, FISHID = NA"
FOSC09,2.159297506,0.080284345,0.240853035,FALSE,2.159297506,TRUE,Von_Biela,VVB,SS01,8/13/2022,70.29305,-147.7989,Foggy Island Bay,12/7/2022,Fourhorn Sculpin,,,15.6,11.9,"VVB fish, Net ID = FN-2022-03, FISHID = NA"
GH-3,0.639233849,0.106223456,0.318670367,FALSE,0.639233849,TRUE,Bering Sea,NBS2022,1,9/1/2022,60.0074,-168.0721,,12/6/2022,Greenland turbot,Reinhardtius hippoglossoides,Larval,1.3,6,"No barcode, composite sample, n = 2, labeled Greenland halibut, mass and length are averages"
GH-4,1.832685598,0.0722972,0.216891601,FALSE,1.832685598,TRUE,Bering Sea,NBS2022,1,9/1/2022,60.0074,-168.0721,,12/12/2022,Greenland turbot,Reinhardtius hippoglossoides,Larval,1.5,6.4,"No barcode, composite sample, n = 3, labeled Greenland halibut, mass and length are averages"
LD003,1.027186379,0.057906733,0.1737202,FALSE,1.027186379,TRUE,Bering Sea,NBS2022,1,,,,,12/7/2022,Longhead Dab,,,0.4,2.8,"No barcode, composite sample, n = 4,  mass and length are averages"
PG-2,0.941094278,0.064210083,0.192630248,FALSE,0.941094278,TRUE,Bering Sea,NBS2022,22,9/9/2022,62.5025,-169.015,,12/6/2022,Humpy shrimp,Pandalus goniurus,,1.4,,"No barcode, composite sample, n = 3, no lengths taken, mass is average"
RASM01,7.50830735,0.125405142,0.376215426,FALSE,7.50830735,TRUE,Von_Biela,VVB,SS01,7/24/2021,70.2929,-147.79823,Foggy Island Bay,12/12/2022,Rainbow Smelt,,,1.5,6,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
RASM02,17.29859345,0.288325111,0.864975333,FALSE,17.29859345,TRUE,Von_Biela,VVB,SS01,7/24/2021,70.2929,-147.79823,Foggy Island Bay,12/12/2022,Rainbow Smelt,,,1.2,6.3,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
RASM03,18.31824677,0.530274456,1.590823368,FALSE,18.31824677,TRUE,Von_Biela,VVB,SS01,7/24/2021,70.2929,-147.79823,Foggy Island Bay,12/12/2022,Rainbow Smelt,,,3.4,8.4,"VVB fish, Net ID = FN-2021-02, FISHID = NA"
RASM04,32.97757925,0.957889475,2.873668426,FALSE,32.97757925,TRUE,Von_Biela,VVB,SS01,7/23/2022,70.29305,-147.7989,Foggy Island Bay,12/12/2022,Rainbow Smelt,,,3.5,8.8,"VVB fish, Net ID = FN-2022-01, FISHID = NA"
RASM05,29.02971835,0.686135634,2.058406902,FALSE,29.02971835,TRUE,Von_Biela,VVB,SS01,7/23/2022,70.29305,-147.7989,Foggy Island Bay,12/12/2022,Rainbow Smelt,,,4.4,9.5,"VVB fish, Net ID = FN-2022-01, FISHID = NA"
RASM06,15.2264642,0.248320948,0.744962843,FALSE,15.2264642,TRUE,Von_Biela,VVB,SS01,7/24/2022,70.29305,-147.7989,Foggy Island Bay,12/12/2022,Rainbow Smelt,,,5.4,9.5,"VVB fish, Net ID = FN-2022-02, FISHID = NA"
RASM07,18.33761749,0.573430139,1.720290418,FALSE,18.33761749,TRUE,Von_Biela,VVB,LB04,8/19/2022,70.15524,-146.11319,Flaxman Island,12/7/2022,Rainbow Smelt,,,5.1,9.8,"VVB fish, Net ID = FN-2022-09, FISHID = NA"
RASM08,8.550021771,0.206713598,0.620140795,FALSE,8.550021771,TRUE,Von_Biela,VVB,LB01,8/16/2022,70.17207,-145.95714,Flaxman Island,12/7/2022,Rainbow Smelt,,,7.2,10.5,"VVB fish, Net ID = FN-2022-06, FISHID = NA"
